is_bible,book,chapter,verse,text,god_body_relevance,god_body_support_1,god_body_support_2
True,Zechariah,12,10,"And I will pour upon the house of David, and upon the inhabitants of Jerusalem, the spirit of grace and of supplications: and they shall look upon me whom they have pierced, and they shall mourn for him, as one mourneth for [his] only [son], and shall be in bitterness for him, as one that is in bitterness for [his] firstborn.",0.2,0.0,0.3
True,Zechariah,12,11,"In that day shall there be a great mourning in Jerusalem, as the mourning of Hadadrimmon in the valley of Megiddon.",0.0,0.0,0.0
True,Zechariah,12,12,"And the land shall mourn, every family apart; the family of the house of David apart, and their wives apart; the family of the house of Nathan apart, and their wives apart;",0.0,0.0,0.0
True,Zechariah,12,13,"The family of the house of Levi apart, and their wives apart; the family of Shimei apart, and their wives apart;",0.0,0.0,0.0
True,Zechariah,12,14,"All the families that remain, every family apart, and their wives apart.",0.0,0.0,0.0
True,Zechariah,13,1,In that day there shall be a fountain opened to the house of David and to the inhabitants of Jerusalem for sin and for uncleanness.,0.1,0.0,0.1
True,Zechariah,13,2,"And it shall come to pass in that day, saith the LORD of hosts, [that] I will cut off the names of the idols out of the land, and they shall no more be remembered: and also I will cause the prophets and the unclean spirit to pass out of the land.",0.1,0.0,0.0
True,Zechariah,13,3,"And it shall come to pass, [that] when any shall yet prophesy, then his father and his mother that begat him shall say unto him, Thou shalt not live; for thou speakest lies in the name of the LORD: and his father and his mother that begat him shall thrust him through when he prophesieth.",0.0,0.0,0.0
True,Zechariah,13,4,"And it shall come to pass in that day, [that] the prophets shall be ashamed every one of his vision, when he hath prophesied; neither shall they wear a rough garment to deceive:",0.05,0.0,0.0
True,Zechariah,13,5,"But he shall say, I [am] no prophet, I [am] an husbandman; for man taught me to keep cattle from my youth.",0.05,0.0,0.1
True,Zechariah,13,6,"And [one] shall say unto him, What [are] these wounds in thine hands? Then he shall answer, [Those] with which I was wounded [in] the house of my friends.",0.6,0.0,0.9
True,Zechariah,13,7,"Awake, O sword, against my shepherd, and against the man [that is] my fellow, saith the LORD of hosts: smite the shepherd, and the sheep shall be scattered: and I will turn mine hand upon the little ones.",0.2,0.0,0.5
True,Zechariah,13,8,"And it shall come to pass, [that] in all the land, saith the LORD, two parts therein shall be cut off [and] die; but the third shall be left therein.",0.0,0.0,0.0
True,Zechariah,13,9,"And I will bring the third part through the fire, and will refine them as silver is refined, and will try them as gold is tried: they shall call on my name, and I will hear them: I will say, It [is] my people: and they shall say, The LORD [is] my God.",0.1,0.0,0.1
True,Zechariah,14,1,"Behold, the day of the LORD cometh, and thy spoil shall be divided in the midst of thee.",0.1,0.0,0.0
True,Zechariah,14,2,"For I will gather all nations against Jerusalem to battle; and the city shall be taken, and the houses rifled, and the women ravished; and half of the city shall go forth into captivity, and the residue of the people shall not be cut off from the city.",0.0,0.0,0.0
True,Zechariah,14,3,"Then shall the LORD go forth, and fight against those nations, as when he fought in the day of battle.",0.2,0.0,0.1
True,Zechariah,14,4,"And his feet shall stand in that day upon the mount of Olives, which [is] before Jerusalem on the east, and the mount of Olives shall cleave in the midst thereof toward the east and toward the west, [and there shall be] a very great valley; and half of the mountain shall remove toward the north, and half of it toward the south.",0.2,0.0,0.1
True,Zechariah,14,5,"And ye shall flee [to] the valley of the mountains; for the valley of the mountains shall reach unto Azal: yea, ye shall flee, like as ye fled from before the earthquake in the days of Uzziah king of Judah: and the LORD my God shall come, [and] all the saints with thee.",0.05,0.0,0.1
True,Zechariah,14,6,"And it shall come to pass in that day, [that] the light shall not be clear, [nor] dark:",0.1,0.0,0.0
True,Zechariah,14,7,"But it shall be one day which shall be known to the LORD, not day, nor night: but it shall come to pass, [that] at evening time it shall be light.",0.1,0.0,0.1
True,Zechariah,14,8,"And it shall be in that day, [that] living waters shall go out from Jerusalem; half of them toward the former sea, and half of them toward the hinder sea: in summer and in winter shall it be.",0.1,0.0,0.0
True,Zechariah,14,9,"And the LORD shall be king over all the earth: in that day shall there be one LORD, and his name one.",0.2,0.0,0.1
True,Zechariah,14,10,"All the land shall be turned as a plain from Geba to Rimmon south of Jerusalem: and it shall be lifted up, and inhabited in her place, from Benjamin’s gate unto the place of the first gate, unto the corner gate, and [from] the tower of Hananeel unto the king’s winepresses.",0.0,0.0,0.0
True,Zechariah,14,11,"And [men] shall dwell in it, and there shall be no more utter destruction; but Jerusalem shall be safely inhabited.",0.0,0.0,0.0
True,Zechariah,14,12,"And this shall be the plague wherewith the LORD will smite all the people that have fought against Jerusalem; Their flesh shall consume away while they stand upon their feet, and their eyes shall consume away in their holes, and their tongue shall consume away in their mouth.",0.05,0.0,0.0
True,Zechariah,14,13,"And it shall come to pass in that day, [that] a great tumult from the LORD shall be among them; and they shall lay hold every one on the hand of his neighbour, and his hand shall rise up against the hand of his neighbour.",0.0,0.0,0.0
True,Zechariah,14,14,"And Judah also shall fight at Jerusalem; and the wealth of all the heathen round about shall be gathered together, gold, and silver, and apparel, in great abundance.",0.0,0.0,0.0
True,Zechariah,14,15,"And so shall be the plague of the horse, of the mule, of the camel, and of the ass, and of all the beasts that shall be in these tents, as this plague.",0.0,0.0,0.0
True,Zechariah,14,16,"And it shall come to pass, [that] every one that is left of all the nations which came against Jerusalem shall even go up from year to year to worship the King, the LORD of hosts, and to keep the feast of tabernacles.",0.1,0.0,0.2
True,Zechariah,14,17,"And it shall be, [that] whoso will not come up of [all] the families of the earth unto Jerusalem to worship the King, the LORD of hosts, even upon them shall be no rain.",0.1,0.0,0.1
True,Zechariah,14,18,"And if the family of Egypt go not up, and come not, that [have] no [rain]; there shall be the plague, wherewith the LORD will smite the heathen that come not up to keep the feast of tabernacles.",0.0,0.0,0.0
True,Zechariah,14,19,"This shall be the punishment of Egypt, and the punishment of all nations that come not up to keep the feast of tabernacles.",0.0,0.0,0.0
True,Zechariah,14,20,"In that day shall there be upon the bells of the horses, HOLINESS UNTO THE LORD; and the pots in the LORD’S house shall be like the bowls before the altar.",0.05,0.0,0.1
True,Zechariah,14,21,"Yea, every pot in Jerusalem and in Judah shall be holiness unto the LORD of hosts: and all they that sacrifice shall come and take of them, and seethe therein: and in that day there shall be no more the Canaanite in the house of the LORD of hosts.",0.05,0.0,0.1
True,Malachi,1,1,The burden of the word of the LORD to Israel by Malachi.,0.1,0.0,0.0
True,Malachi,1,2,"I have loved you, saith the LORD. Yet ye say, Wherein hast thou loved us? [Was] not Esau Jacob’s brother? saith the LORD: yet I loved Jacob,",0.1,0.0,0.2
True,Malachi,1,3,"And I hated Esau, and laid his mountains and his heritage waste for the dragons of the wilderness.",0.0,0.0,0.0
True,Malachi,1,4,"Whereas Edom saith, We are impoverished, but we will return and build the desolate places; thus saith the LORD of hosts, They shall build, but I will throw down; and they shall call them, The border of wickedness, and, The people against whom the LORD hath indignation for ever.",0.0,0.0,0.0
True,Malachi,1,5,"And your eyes shall see, and ye shall say, The LORD will be magnified from the border of Israel.",0.2,0.0,0.1
True,Malachi,1,6,"A son honoureth [his] father, and a servant his master: if then I [be] a father, where [is] mine honour? and if I [be] a master, where [is] my fear? saith the LORD of hosts unto you, O priests, that despise my name. And ye say, Wherein have we despised thy name?",0.2,0.0,0.5
True,Malachi,1,7,"Ye offer polluted bread upon mine altar; and ye say, Wherein have we polluted thee? In that ye say, The table of the LORD [is] contemptible.",0.05,0.0,0.1
True,Malachi,1,8,"And if ye offer the blind for sacrifice, [is it] not evil? and if ye offer the lame and sick, [is it] not evil? offer it now unto thy governor; will he be pleased with thee, or accept thy person? saith the LORD of hosts.",0.1,0.0,0.1
True,Malachi,1,9,"And now, I pray you, beseech God that he will be gracious unto us: this hath been by your means: will he regard your persons? saith the LORD of hosts.",0.1,0.0,0.2
True,Malachi,1,10,"Who [is there] even among you that would shut the doors [for nought]? neither do ye kindle [fire] on mine altar for nought. I have no pleasure in you, saith the LORD of hosts, neither will I accept an offering at your hand.",0.1,0.0,0.2
True,Malachi,1,11,"For from the rising of the sun even unto the going down of the same my name [shall be] great among the Gentiles; and in every place incense [shall be] offered unto my name, and a pure offering: for my name [shall be] great among the heathen, saith the LORD of hosts.",0.1,0.0,0.1
True,Malachi,1,12,"But ye have profaned it, in that ye say, The table of the LORD [is] polluted; and the fruit thereof, [even] his meat, [is] contemptible.",0.1,0.0,0.0
True,Malachi,1,13,"Ye said also, Behold, what a weariness [is it]! and ye have snuffed at it, saith the LORD of hosts; and ye brought [that which was] torn, and the lame, and the sick; thus ye brought an offering: should I accept this of your hand? saith the LORD.",0.1,0.0,0.2
True,Malachi,1,14,"But cursed [be] the deceiver, which hath in his flock a male, and voweth, and sacrificeth unto the Lord a corrupt thing: for I [am] a great King, saith the LORD of hosts, and my name [is] dreadful among the heathen.",0.1,0.0,0.1
True,Malachi,2,1,"And now, O ye priests, this commandment [is] for you.",0.1,0.0,0.2
True,Malachi,2,2,"If ye will not hear, and if ye will not lay [it] to heart, to give glory unto my name, saith the LORD of hosts, I will even send a curse upon you, and I will curse your blessings: yea, I have cursed them already, because ye do not lay [it] to heart.",0.05,0.0,0.1
True,Malachi,2,3,"Behold, I will corrupt your seed, and spread dung upon your faces, [even] the dung of your solemn feasts; and [one] shall take you away with it.",0.05,0.0,0.0
True,Malachi,2,4,"And ye shall know that I have sent this commandment unto you, that my covenant might be with Levi, saith the LORD of hosts.",0.05,0.0,0.1
True,Malachi,2,5,"My covenant was with him of life and peace; and I gave them to him [for] the fear wherewith he feared me, and was afraid before my name.",0.1,0.0,0.2
True,Malachi,2,6,"The law of truth was in his mouth, and iniquity was not found in his lips: he walked with me in peace and equity, and did turn many away from iniquity.",0.1,0.0,0.1
True,Malachi,2,7,"For the priest’s lips should keep knowledge, and they should seek the law at his mouth: for he [is] the messenger of the LORD of hosts.",0.1,0.0,0.2
True,Malachi,2,8,"But ye are departed out of the way; ye have caused many to stumble at the law; ye have corrupted the covenant of Levi, saith the LORD of hosts.",0.1,0.0,0.1
True,Malachi,2,9,"Therefore have I also made you contemptible and base before all the people, according as ye have not kept my ways, but have been partial in the law.",0.1,0.0,0.0
True,Malachi,2,10,"Have we not all one father? hath not one God created us? why do we deal treacherously every man against his brother, by profaning the covenant of our fathers?",0.25,0.05,0.7
True,Malachi,2,11,"Judah hath dealt treacherously, and an abomination is committed in Israel and in Jerusalem; for Judah hath profaned the holiness of the LORD which he loved, and hath married the daughter of a strange god.",0.1,0.0,0.0
True,Malachi,2,12,"The LORD will cut off the man that doeth this, the master and the scholar, out of the tabernacles of Jacob, and him that offereth an offering unto the LORD of hosts.",0.05,0.0,0.1
True,Malachi,2,13,"And this have ye done again, covering the altar of the LORD with tears, with weeping, and with crying out, insomuch that he regardeth not the offering any more, or receiveth [it] with good will at your hand.",0.1,0.0,0.1
True,Malachi,2,14,"Yet ye say, Wherefore? Because the LORD hath been witness between thee and the wife of thy youth, against whom thou hast dealt treacherously: yet [is] she thy companion, and the wife of thy covenant.",0.05,0.0,0.1
True,Malachi,2,15,"And did not he make one? Yet had he the residue of the spirit. And wherefore one? That he might seek a godly seed. Therefore take heed to your spirit, and let none deal treacherously against the wife of his youth.",0.2,0.0,0.5
True,Malachi,2,16,"For the LORD, the God of Israel, saith that he hateth putting away: for [one] covereth violence with his garment, saith the LORD of hosts: therefore take heed to your spirit, that ye deal not treacherously.",0.1,0.0,0.1
True,Malachi,2,17,"Ye have wearied the LORD with your words. Yet ye say, Wherein have we wearied [him]? When ye say, Every one that doeth evil [is] good in the sight of the LORD, and he delighteth in them; or, Where [is] the God of judgment?",0.1,0.0,0.2
True,Malachi,3,1,"Behold, I will send my messenger, and he shall prepare the way before me: and the Lord, whom ye seek, shall suddenly come to his temple, even the messenger of the covenant, whom ye delight in: behold, he shall come, saith the LORD of hosts.",0.2,0.0,0.3
True,Malachi,3,2,"But who may abide the day of his coming? and who shall stand when he appeareth? for he [is] like a refiner’s fire, and like fullers’ soap:",0.1,0.0,0.1
True,Malachi,3,3,"And he shall sit [as] a refiner and purifier of silver: and he shall purify the sons of Levi, and purge them as gold and silver, that they may offer unto the LORD an offering in righteousness.",0.1,0.0,0.2
True,Malachi,3,4,"Then shall the offering of Judah and Jerusalem be pleasant unto the LORD, as in the days of old, and as in former years.",0.05,0.0,0.1
True,Malachi,3,5,"And I will come near to you to judgment; and I will be a swift witness against the sorcerers, and against the adulterers, and against false swearers, and against those that oppress the hireling in [his] wages, the widow, and the fatherless, and that turn aside the stranger [from his right], and fear not me, saith the LORD of hosts.",0.1,0.0,0.1
True,Malachi,3,6,"For I [am] the LORD, I change not; therefore ye sons of Jacob are not consumed.",0.2,0.0,0.5
True,Malachi,3,7,"Even from the days of your fathers ye are gone away from mine ordinances, and have not kept [them]. Return unto me, and I will return unto you, saith the LORD of hosts. But ye said, Wherein shall we return?",0.1,0.0,0.2
True,Malachi,3,8,"Will a man rob God? Yet ye have robbed me. But ye say, Wherein have we robbed thee? In tithes and offerings.",0.1,0.0,0.2
True,Malachi,3,9,"Ye [are] cursed with a curse: for ye have robbed me, [even] this whole nation.",0.0,0.0,0.0
True,Malachi,3,10,"Bring ye all the tithes into the storehouse, that there may be meat in mine house, and prove me now herewith, saith the LORD of hosts, if I will not open you the windows of heaven, and pour you out a blessing, that [there shall] not [be room] enough [to receive it].",0.1,0.0,0.1
True,Malachi,3,11,"And I will rebuke the devourer for your sakes, and he shall not destroy the fruits of your ground; neither shall your vine cast her fruit before the time in the field, saith the LORD of hosts.",0.05,0.0,0.1
True,Malachi,3,12,"And all nations shall call you blessed: for ye shall be a delightsome land, saith the LORD of hosts.",0.05,0.0,0.1
True,Malachi,3,13,"Your words have been stout against me, saith the LORD. Yet ye say, What have we spoken [so much] against thee?",0.1,0.0,0.1
True,Malachi,3,14,"Ye have said, It [is] vain to serve God: and what profit [is it] that we have kept his ordinance, and that we have walked mournfully before the LORD of hosts?",0.1,0.0,0.0
True,Malachi,3,15,"And now we call the proud happy; yea, they that work wickedness are set up; yea, [they that] tempt God are even delivered.",0.1,0.0,0.0
True,Malachi,3,16,"Then they that feared the LORD spake often one to another: and the LORD hearkened, and heard [it], and a book of remembrance was written before him for them that feared the LORD, and that thought upon his name.",0.2,0.0,0.3
True,Malachi,3,17,"And they shall be mine, saith the LORD of hosts, in that day when I make up my jewels; and I will spare them, as a man spareth his own son that serveth him.",0.1,0.0,0.2
True,Malachi,3,18,"Then shall ye return, and discern between the righteous and the wicked, between him that serveth God and him that serveth him not.",0.2,0.0,0.1
True,Malachi,4,1,"For, behold, the day cometh, that shall burn as an oven; and all the proud, yea, and all that do wickedly, shall be stubble: and the day that cometh shall burn them up, saith the LORD of hosts, that it shall leave them neither root nor branch.",0.05,0.0,0.1
True,Malachi,4,2,"But unto you that fear my name shall the Sun of righteousness arise with healing in his wings; and ye shall go forth, and grow up as calves of the stall.",0.1,0.0,0.2
True,Malachi,4,3,"And ye shall tread down the wicked; for they shall be ashes under the soles of your feet in the day that I shall do [this], saith the LORD of hosts.",0.05,0.0,0.1
True,Malachi,4,4,"Remember ye the law of Moses my servant, which I commanded unto him in Horeb for all Israel, [with] the statutes and judgments.",0.1,0.0,0.1
True,Malachi,4,5,"Behold, I will send you Elijah the prophet before the coming of the great and dreadful day of the LORD:",0.1,0.0,0.1
True,Malachi,4,6,"And he shall turn the heart of the fathers to the children, and the heart of the children to their fathers, lest I come and smite the earth with a curse.",0.1,0.0,0.2
True,Matthew,1,1,"The book of the generation of Jesus Christ, the son of David, the son of Abraham.",0.1,0.0,0.2
